#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
arknoid2;Arkanoid - Revenge of DOH (World);Arcade;;1987;Taito Corporation Japan;Ball & Paddle / Breakout;2;270;dial,dial;good;1;raster;;;;1;;;;
ashura;Ashura Blaster (World);Arcade;;1990;Taito Corporation Japan;Shooter / Flying Vertical;2;270;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;;
asuka;Asuka & Asuka (World);Arcade;;1988;Taito Corporation;Shooter / Flying Vertical;2;270;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;;
asylum;Asylum (prototype);Arcade;;1991;Leland Corporation;Shooter / Walking;3;270;joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;;
brapboys;B.Rap Boys (World);Arcade;;1992;Kaneko;Fighter / 2.5D;3;0;joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;;
bakubrkr;Bakuretsu Breaker (Japan);Arcade;explbrkr;1992;Kaneko;Shooter / Flying Vertical;2;90;joystick (8-way),joystick (8-way);good;1;raster;explbrkr;;;2;;;;
baluba;Baluba-louk no Densetsu (Japan);Arcade;;1986;Able Corp, Ltd.;Platform / Run Jump;2;90;joystick (8-way),joystick (8-way);good;1;raster;;;;1;;;;
baraduke;Baraduke;Arcade;aliensec;1985;Namco;Shooter / Flying Horizontal;2;0;joystick (8-way),joystick (8-way);good;1;raster;aliensec;;;1;;;;
battlane;Battle Lane! Vol. 5 (set 1);Arcade;;1986;Technos Japan (Taito license);Shooter / Driving Vertical;2;90;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;;
battlera;Battle Rangers (World);Arcade;;1988;Data East Corporation;Shooter / Walking;2;0;joystick (8-way),joystick (8-way);imperfect;1;raster;;;;3;;;;
bshark;Battle Shark (World);Arcade;;1989;Taito Corporation Japan;Shooter / Flying 1st Person;1;0;joystick (analog);imperfect;1;raster;;;;6;;;;
battlcry;Battlecry (Version E);Arcade;;1991;Home Data;Fighter / 2D;2;0;joystick (8-way),joystick (8-way);imperfect;1;raster;;;;3;;;;
btoads;Battletoads;Arcade;;1994;Rare / Electronic Arts;Fighter / 2.5D;3;0;joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;;
beathead;BeatHead (prototype);Arcade;;1993;Atari Games;Platform / Run Jump;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;;
bbbxing;Best Bout Boxing (ver 1.3);Arcade;;1994;Jaleco;Sports / Boxing;2;0;joystick (8-way),joystick (8-way);imperfect;1;raster;;;;5;;;;
realbrk;Billiard Academy Real Break (Europe);Arcade;;1998;Nakanihon;Sports / Pool * Mature *;2;0;joystick (8-way),joystick (8-way);imperfect;1;raster;;;;2;;;;
bmaster;Blade Master (World);Arcade;;1991;Irem;Fighter / 2.5D;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;;
blazeon;Blaze On (World);Arcade;;1992;A.I (Atlus license);Shooter / Flying Horizontal;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;;
blockout;Block Out (set 1);Arcade;;1989;Technos Japan / California Dreams;Puzzle / Drop;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;;4;;;;
blocken;Blocken (Japan);Arcade;;1994;Visco / KID;Ball & Paddle / Breakout;2;0;joystick (8-way),joystick (8-way);imperfect;1;raster;;;;3;;;;
bloxeedc;Bloxeed (World, C System);Arcade;bloxeed;1989;Sega / Elorg;Puzzle / Drop;2;0;joystick (8-way),joystick (8-way);good;1;raster;bloxeed;;;1;;;;
borench;Borench (set 1);Arcade;;1990;Sega;Maze / Collect;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;;
bosco;Bosconian - Star Destroyer (version 5);Arcade;;1981;Namco;Shooter / Field;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;;1;;;;
bouldash;Boulder Dash / Boulder Dash Part 2 (World);Arcade;;1990;Data East Corporation (licensed from First Star);Maze / Digging;2;0;joystick (4-way),joystick (4-way);imperfect;1;raster;;;;2;;;;
brutforc;Brute Force;Arcade;;1991;Leland Corporation;Fighter / Field;3;0;joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;;
bublbobl;Bubble Bobble (Japan, Ver 0.1);Arcade;;1986;Taito Corporation;Platform / Run Jump;2;0;joystick (2-way),joystick (2-way);good;1;raster;;;;2;;;;
burnforc;Burning Force (Japan, new version (Rev C));Arcade;;1989;Namco;Shooter / Driving (chase view);2;0;joystick (8-way),joystick (8-way);good;1;raster;;;;3;;;;
brival;Burning Rival (World);Arcade;;1992;Sega;Fighter / Versus;2;0;joystick (8-way),joystick (8-way);imperfect;1;raster;;;;6;;;;
butasan;Butasan - Pig's & Bomber's (Japan, English);Arcade;;1987;NMK (Jaleco license);Shooter / Walking;2;0;joystick (8-way),joystick (8-way);imperfect;1;raster;;;;2;;;;
cachat;Cachat (Japan);Arcade;;1993;Taito Corporation;Puzzle / Drop;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;;
cadash;Cadash (World);Arcade;;1989;Taito Corporation Japan;Platform / Fighter Scrolling;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;;
calibr50;Caliber 50 (Ver. 1.01);Arcade;;1989;Athena / Seta;Shooter / Walking;2;270;joystick (8-way),dial,joystick (8-way),dial;good;1;raster;;;;2;;;;
cbasebal;Capcom Baseball (Japan);Arcade;;1989;Capcom;Sports / Baseball;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;;3;;;;
captaven;Captain America and The Avengers (Asia Rev 1.4);Arcade;;1991;Data East Corporation;Fighter / 2.5D;4;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);imperfect;1;raster;;;;2;;;;
csilver;Captain Silver (World);Arcade;;1987;Data East Corporation;Platform / Fighter Scrolling;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;;
champbas;Champion Base Ball;Arcade;;1983;Alpha Denshi Co. (Sega license);Sports / Baseball;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;;3;;;;
chboxing;Champion Boxing;Arcade;;1984;Sega;Sports / Boxing;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;;
chwrestl;Champion Pro Wrestling;Arcade;;1985;Sega;Sports / Wrestling;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;;
champwr;Champion Wrestler (World);Arcade;;1989;Taito Corporation Japan;Sports / Wrestling;2;0;joystick (8-way),joystick (8-way);imperfect;1;raster;;;;2;;;;
cairblad;Change Air Blade (Japan);Arcade;;1999;Sammy;Shooter / Flying Vertical;2;270;joystick (8-way),joystick (8-way);good;1;raster;;;;3;;;;
chasehq;Chase H.Q. (World);Arcade;;1988;Taito Corporation Japan;Driving / Race (chase view);1;0;dial,paddle,pedal;imperfect;1;raster;;;;4;;;;
cheesech;Cheese Chase;Arcade;;1994;Art & Magic;Maze / Collect;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;;3;;;;
chelnov;Chelnov - Atomic Runner (World);Arcade;;1988;Data East Corporation;Platform / Shooter Scrolling;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;;3;;;;
cshift;Chicken Shift (11/23/84);Arcade;;1984;Bally/Sente;Puzzle / Maze;2;0;only_buttons;good;1;raster;;;;2;;;;
chinagat;China Gate (US);Arcade;;1988;Technos Japan (Taito / Romstar license);Platform / Fighter;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;;3;;;;
chinhero;Chinese Hero;Arcade;;1984;Taiyo System;Fighter / Field;2;90;joystick (4-way),joystick (4-way);good;1;raster;;;;4;;;;
chukatai;Chuka Taisen (World) (P0-028-A PCB);Arcade;;1988;Taito Corporation Japan;Shooter / Flying Horizontal;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;;
cischeat;Cisco Heat;Arcade;;1990;Jaleco;Driving / Race (chase view);1;0;paddle;imperfect;1;raster;;;;4;;;;
citybomb;City Bomber (World);Arcade;;1987;Konami;Shooter / Driving Vertical;2;270;joystick (8-way),paddle,pedal,joystick (8-way);good;1;raster;;;;3;;;;
cloaksp;Cloak & Dagger (Spanish);Arcade;cloak;1983;Atari;Shooter / Field;2;0;double joystick;good;1;raster;cloak;;;1;;;;
columns;Columns (World);Arcade;;1990;Sega;Puzzle / Drop;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;;1;;;;
columns2;Columns II: The Voyage Through Time (World);Arcade;;1990;Sega;Puzzle / Drop;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;;1;;;;
commando;Commando (World);Arcade;;1985;Capcom;Shooter / Walking;2;270;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;;
contcirc;Continental Circus (World);Arcade;;1987;Taito Corporation Japan;Driving / Race (chase view);1;0;dial,paddle,pedal;imperfect;1;raster;;;;3;;;;
cosmccop;Cosmic Cop (World);Arcade;;1991;Irem;Shooter / Flying Horizontal;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;;4;;;;
cclimber;Crazy Climber (US set 1);Arcade;;1980;Nichibutsu;Climbing / Building;2;0;double joystick,double joystick;good;1;raster;;;;;;;;
cclimbr2;Crazy Climber 2 (Japan);Arcade;;1988;Nichibutsu;Climbing / Building;2;0;double joystick,double joystick;good;1;raster;;;;;;;;
crimec;Crime City (World);Arcade;;1989;Taito Corporation Japan;Platform / Shooter Scrolling;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;;
curvebal;Curve Ball;Arcade;;1984;Mylstar;Sports / Baseball;2;270;only_buttons,only_buttons;good;1;raster;;;;2;;;;
daikaiju;Daikaiju no Gyakushu;Arcade;;1986;Taito;Shooter / Field;2;270;joystick (8-way),joystick (8-way);imperfect;1;raster;;;;2;;;;
ddungeon;Dangerous Dungeons (set 1);Arcade;;1992;The Game Room;Maze / Digging;2;0;joystick (4-way),joystick (4-way);good;1;raster;;;;3;;;;
dfeveron;Dangun Feveron (Japan, 98/09/17 VER.);Arcade;feversos;1998;Cave (Nihon System license);Shooter / Flying Vertical;2;270;joystick (8-way),joystick (8-way);good;1;raster;feversos;;;3;;;;
indyheat;Danny Sullivan's Indy Heat (rev 1);Arcade;;1991;Leland Corporation;Driving / Race Track;3;0;dial,pedal,dial,pedal,dial,pedal;good;1;raster;;;;2;;;;
darius2;Darius II (triple screen) (Japan);Arcade;;1989;Taito Corporation;Shooter / Flying Horizontal;2;0;joystick (8-way),joystick (8-way);imperfect;3;raster;;;;2;;;;
darwin;Darwin 4078 (Japan);Arcade;;1986;Data East Corporation;Shooter / Flying Vertical;2;270;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;;
deadconx;Dead Connection (World);Arcade;;1992;Taito Corporation Japan;Shooter / Field;2;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;;
dassault;Desert Assault (US);Arcade;thndzone;1991;Data East Corporation;Shooter / Walking;2;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);imperfect;1;raster;thndzone;;;2;;;;
desertwr;Desert War / Wangan Sensou (ver 1.0);Arcade;;1995;Jaleco;Shooter / Flying Vertical;2;270;joystick (8-way),joystick (8-way);imperfect;1;raster;;;;5;;;;
dinorex;Dino Rex (World);Arcade;;1992;Taito Corporation Japan;Fighter / Versus;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;;3;;;;
dondokod;Don Doko Don (World);Arcade;;1989;Taito Corporation Japan;Platform / Run Jump;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;;
ddragonw;Double Dragon (World set 1);Arcade;ddragon;1987;Technos Japan (Taito license);Fighter / 2.5D;2;0;joystick (8-way),joystick (8-way);good;1;raster;ddragon;;;3;;;;
ddragon2;Double Dragon II: The Revenge (World);Arcade;;1988;Technos Japan;Fighter / 2.5D;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;;3;;;;
drtoppel;Dr. Toppel's Adventure (World);Arcade;;1987;Kaneko / Taito Corporation Japan;Shooter / Flying Vertical;2;90;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;;
drgnunit;Dragon Unit / Castle of Dragon;Arcade;;1989;Athena / Seta;Platform / Fighter Scrolling;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;;3;;;;
dragoonj;Dragoon Might (ver JAA);Arcade;dragoona;1995;Konami;Fighter / Versus;2;0;joystick (8-way),joystick (8-way);imperfect;1;raster;dragoona;;;6;;;;
drifto94;Drift Out '94 - The Hard Order (Japan);Arcade;;1994;Visco;Driving / Race;1;0;joystick (8-way),joystick (8-way);good;1;raster;;;;3;;;;
dungeonm;Dungeon Magic (Ver 2.1O 1994/02/18);Arcade;lightbr;1993;Taito Corporation Japan;Maze / Fighter;4;0;joystick (8-way),dial,joystick (8-way),dial,joystick (8-way),joystick (8-way);imperfect;1;raster;lightbr;;;4;;;;
dduxbl;Dynamite Dux (Datsu bootleg);Arcade;ddux;1989;bootleg (Datsu);Fighter / 2.5D;2;0;joystick (8-way),joystick (8-way);preliminary;1;raster;ddux;;;3;;;;
eswat;E-Swat - Cyber Police (set 4, World) (FD1094 317-0130);Arcade;;1989;Sega;Platform / Shooter Scrolling;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;;3;;;;
emeralda;Emeraldia (World);Arcade;;1993;Namco;Puzzle / Drop;2;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;;;;3;;;;
equites;Equites;Arcade;;1984;Alpha Denshi Co.;Shooter / Walking;2;90;joystick (8-way),joystick (8-way);imperfect;1;raster;;;;3;;;;
exctsccr;Exciting Soccer;Arcade;;1983;Alpha Denshi Co.;Sports / Soccer;2;270;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;;
exerion;Exerion;Arcade;;1983;Jaleco;Shooter / Gallery;2;90;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;;
extrmatn;Extermination (World);Arcade;;1987;Taito Corporation Japan;Shooter / Walking;2;270;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;;
exterm;Exterminator;Arcade;;1989;Premier Technology;Shooter / 3rd Person;2;0;joystick (8-way),dial,joystick (8-way),dial;good;1;raster;;;;2;;;;
exvania;Exvania (World);Arcade;;1992;Namco;Maze / Fighter;4;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;;;;3;;;;
exzisus;Exzisus (Japan, dedicated);Arcade;;1987;Taito Corporation;Shooter / Flying Horizontal;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;;
f1dream;F-1 Dream;Arcade;;1988;Capcom (Romstar license);Driving / Race;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;;
fantasia;Fantasia (940429 PCB, set 1);Arcade;;1994;Comad & New Japan System;Puzzle / Outline * Mature *;2;90;joystick (4-way),joystick (4-way);imperfect;1;raster;;;;2;;;;
fieldday;Field Day;Arcade;;1984;Taito Corporation;Sports / Track & Field;4P alt / 2;0;only_buttons,only_buttons,only_buttons,only_buttons;good;1;raster;;;;3;;;;
fghtatck;Fighter & Attacker (US);Arcade;;1992;Namco;Shooter / Flying Vertical;2;90;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;;;;3;;;;
fhawk;Fighting Hawk (World);Arcade;;1988;Taito Corporation Japan;Shooter / Flying Vertical;2;270;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;;
finalb;Final Blow (World);Arcade;;1988;Taito Corporation Japan;Sports / Boxing;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;;5;;;;
finehour;Finest Hour (Japan);Arcade;;1989;Namco;Platform / Shooter Scrolling;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;;3;;;;
fshark;Flying Shark (World);Arcade;;1987;Toaplan / Taito Corporation;Shooter / Flying Vertical;2;270;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;;
footchmp;Football Champ / Euro Football Champ (World);Arcade;;1990;Taito Corporation Japan;Sports / Soccer;4;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;;
forgottn;Forgotten Worlds (World, newer);Arcade;;1988;Capcom;Shooter / Flying Horizontal;2;0;joystick (8-way),dial,joystick (8-way),dial;good;1;raster;;;;1;;;;
40love;Forty-Love (World);Arcade;;1984;Taito Corporation;Sports / Tennis;2;0;joystick (4-way),joystick (4-way);imperfect;1;raster;;;;3;;;;
fourtrax;Four Trax (World);Arcade;;1989;Namco;Driving / Race (chase view);1;0;paddle,pedal;imperfect;1;raster;;;;1;;;;
suprslam;From TV Animation Slam Dunk - Super Slams;Arcade;;1995;Banpresto / Toei Animation / Video System Co.;Sports / Basketball;2;0;joystick (8-way),joystick (8-way);imperfect;1;raster;;;;4;;;;
gijoeu;G.I. Joe (US, UAB);Arcade;gijoe;1992;Konami;Shooter / 3rd Person;4;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);imperfect;1;raster;gijoe;;;3;;;;
gaialast;Gaia - The Last Choice of Earth;Arcade;;1999;SemiCom / XESS;Shooter / Flying Vertical;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;;3;;;;
galmedes;Galmedes (Japan);Arcade;;1992;Visco;Shooter / Flying Vertical;2;270;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;;
galhustl;Gals Hustler;Arcade;pgalvip;1997;ACE International;Sports / Pool * Mature *;2;0;joystick (8-way),joystick (8-way);good;1;raster;pgalvip;;;3;;;;
garyoret;Garyo Retsuden (Japan);Arcade;;1987;Data East Corporation;Shooter / Walking;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;;
gemini;Gemini Wing (World);Arcade;;1987;Tecmo;Shooter / Flying Vertical;2;90;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;;
goal92;Goal! '92;Arcade;cupsoc;1992;bootleg;Sports / Soccer;4;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);imperfect;1;raster;cupsoc;;;3;;;;
gghost;Goalie Ghost;Arcade;;1984;Bally/Sente;Sports / Soccer;2;0;trackball,trackball;good;1;raster;;;;2;;;;
goindol;Goindol (World);Arcade;;1987;SunA;Ball & Paddle / Breakout;2;90;joystick (8-way),dial,joystick (8-way);preliminary;1;raster;;;;2;;;;
goldnaxe;Golden Axe (set 6, US) (8751 317-123A);Arcade;;1989;Sega;Fighter / 2.5D;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;;3;;;;
ga2;Golden Axe: The Revenge of Death Adder (World, Rev B);Arcade;;1992;Sega;Fighter / 2.5D;4;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);imperfect;1;raster;;;;3;;;;
gondo;Gondomania (World);Arcade;;1987;Data East Corporation;Shooter / Flying Vertical;2;270;joystick (8-way),positional,joystick (8-way),positional;good;1;raster;;;;2;;;;
gstrik2;Grand Striker 2 (Europe and Oceania);Arcade;;1996;Human Amusement;Sports / Soccer;2;0;joystick (8-way),joystick (8-way);imperfect;1;raster;;;;3;;;;
gratia;Gratia - Second Earth (ver 1.0, 92047-01 version);Arcade;;1996;Jaleco;Shooter / Flying Horizontal;2;0;joystick (8-way),joystick (8-way);imperfect;1;raster;;;;5;;;;
gberetb;Green Beret (bootleg);Arcade;gberet;1985;bootleg;Platform / Shooter Scrolling;2;0;joystick (8-way);preliminary;1;raster;gberet;;;2;;;;
guardian;Guardians of the 'Hood;Arcade;;1992;Atari Games;Fighter / 2.5D;3;0;joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;;;;5;;;;
gwarb;Guerrilla War (Joystick hack bootleg);Arcade;gwar;1987;bootleg;Shooter / Walking;2;270;joystick (8-way),positional,joystick (8-way),positional;good;1;raster;gwar;;;2;;;;
gunfront;Gun & Frontier (World);Arcade;;1990;Taito Corporation Japan;Shooter / Flying Vertical;2;270;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;;
gunbird;Gunbird (World);Arcade;;1994;Psikyo;Shooter / Flying Vertical;2;270;joystick (8-way),joystick (8-way);good;1;raster;;;;3;;;;
gunforce;Gunforce - Battle Fire Engulfed Terror Island (World);Arcade;;1991;Irem;Platform / Shooter Scrolling;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;;
gutsn;Guts'n (Japan);Arcade;;2000;Kaneko / Kouyousha;Puzzle / Misc.;2;0;joystick (8-way),joystick (8-way);imperfect;1;raster;skns;;;3;;;;
guwange;Guwange (Japan, 1999 6/24 Master Ver 16:55);Arcade;;1999;Cave (Atlus license);Shooter / Walking;2;270;joystick (8-way),joystick (8-way);good;1;raster;;;;3;;;;
hharry;Hammerin' Harry (World, M81 hardware);Arcade;;1990;Irem;Platform / Fighter Scrolling;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;;4;;;;
hangzo;Hangzo (Japan, prototype);Arcade;;1992;Hot-B;Fighter / 2D;2;0;joystick (8-way),joystick (8-way);imperfect;1;raster;;;;3;;;;
harddunk;Hard Dunk (World);Arcade;;1994;Sega;Sports / Basketball;6P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);imperfect;2;raster;;;;4;;;;
hattrick;Hat Trick (11/12/84);Arcade;;1984;Bally/Sente;Sports / Hockey;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;;1;;;;
hthero93;Hat Trick Hero '93 (Ver 1.0J 1993/02/28);Arcade;cupfinal;1993;Taito Corporation;Sports / Soccer;4;0;joystick (8-way),dial,joystick (8-way),dial,joystick (8-way),joystick (8-way);imperfect;1;raster;cupfinal;;;4;;;;
heberpop;Hebereke no Popoon (Japan);Arcade;;1994;Sunsoft / Atlus;Puzzle / Drop;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;;
hexion;Hexion (Japan ver JAB);Arcade;;1992;Konami;Puzzle / Drop;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;;
hiimpact;High Impact Football (rev LA5 02/15/91);Arcade;;1990;Williams;Sports / Football;4;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;;;;1;;;;
hook;Hook (World);Arcade;;1992;Irem;Fighter / 2.5D;4;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;;
hotchase;Hot Chase (set 1);Arcade;;1988;Konami;Driving / Race (chase view);1;0;paddle,pedal;good;1;raster;;;;2;;;;
hotpinbl;Hot Pinball;Arcade;;1995;Comad & New Japan System;Arcade / Pinball * Mature *;1;90;only_buttons;good;1;raster;;;;4;;;;
iganinju;Iga Ninjyutsuden (Japan);Arcade;kazan;1988;Jaleco;Platform / Fighter Scrolling;2;0;joystick (8-way),joystick (8-way);good;1;raster;kazan;;;2;;;;
ikarijpb;Ikari (Joystick hack bootleg);Arcade;ikari;1986;bootleg;Shooter / Walking;2;270;joystick (8-way),joystick (8-way);good;1;raster;ikari;;;2;;;;
inthunt;In The Hunt (World);Arcade;;1993;Irem;Shooter / Misc. Horizontal;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;;
indytemp;Indiana Jones and the Temple of Doom (set 1);Arcade;;1985;Atari Games;Maze / Fighter;2;0;joystick (8-way);imperfect;1;raster;atarisy1;;;1;;;;
insectx;Insector X (World);Arcade;;1989;Taito Corporation Japan;Shooter / Flying Horizontal;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;;
offroad;Ironman Ivan Stewart's Super Off-Road (rev 4);Arcade;;1989;Leland Corporation;Driving / Race Track;3;0;dial,pedal,dial,pedal,dial,pedal;good;1;raster;;;;1;;;;
offroadt;Ironman Ivan Stewart's Super Off-Road Track-Pak (rev 4?);Arcade;;1989;Leland Corporation;Driving / Race Track;3;0;dial,pedal,dial,pedal,dial,pedal;good;1;raster;;;;1;;;;
joust2;Joust 2 - Survival of the Fittest (revision 2);Arcade;;1986;Williams;Platform / Run Jump;2;270;joystick (2-way),joystick (2-way);good;1;raster;;;;2;;;;
jdreddp;Judge Dredd (rev TA1 7/12/92, location test);Arcade;;1993;Midway;Fighter / 3D;3;0;joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;;;;4;;;;
jzth;Juezhan Tianhuang;Arcade;;2000;<unknown>;Fighter / 2.5D;2;0;joystick (8-way),joystick (8-way);imperfect;1;raster;;;;3;;;;
kabukiz;Kabuki-Z (World);Arcade;;1988;Kaneko / Taito Corporation Japan;Fighter / 2.5D;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;;
karatblz;Karate Blazers (World, set 1);Arcade;;1991;Video System Co.;Fighter / 2.5D;4;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;;;;4;;;;
kickoff;Kick Off - Jaleco Cup (Japan);Arcade;;1988;Jaleco;Sports / Soccer;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;;
kicknrun;Kick and Run (World);Arcade;;1986;Taito Corporation;Sports / Soccer;4;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;;
kidniki;Kid Niki - Radical Ninja (World);Arcade;;1986;Irem;Platform / Fighter Scrolling;2;0;joystick (8-way),joystick (8-way);imperfect;1;raster;;;;2;;;;
